PCAT;PCAT_CL;PCAT_EE;PCAST;PCAST_CL;PCAST_EE;PANG;PANG_CO;PANG_CE;PANG_EE;PCAT_CO;PCAST_CO;GENERE;MES_NAIXEMENT;ANY_NAIXEMENT;AREA_TERRITORIAL;NATURALESA;HÀBITAT
74,17;75;66,67;76,24;86,36;61,11;63,33;57,14;66,67;66,67;88,89;77,78;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,99;79,55;77,78;88,28;95,45;77,78;87,92;92,86;95,83;50;100;88,89;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,69;77,27;94,44;79,8;81,82;77,78;88,33;92,86;91,67;66,67;100;77,78;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
73,96;81,82;61,11;65,1;59,09;77,78;66,25;78,57;62,5;50;77,78;55,56;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
100;100;100;95,45;90,91;100;95,42;92,86;95,83;100;100;100;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,28;95,45;77,78;84,07;90,91;72,22;95,83;100;91,67;100;88,89;88,89;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
73,03;72,73;66,67;69,65;68,18;77,78;68,33;71,43;66,67;66,67;88,89;55,56;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,39;95,45;100;86,34;95,45;72,22;90,42;78,57;95,83;100;77,78;88,89;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
65,13;61,36;55,56;65,88;54,55;72,22;69,58;64,29;79,17;50;100;88,89;H;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
90,23;95,45;83,33;86,06;95,45;66,67;95;85,71;100;100;88,89;100;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,17;100;83,33;88,28;95,45;77,78;97,92;100;95,83;100;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,57;90,91;88,89;77,53;77,27;77,78;95,42;92,86;95,83;100;100;77,78;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,84;90,91;94,44;75,25;72,73;77,78;93,33;92,86;91,67;100;88,89;77,78;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
92,17;95,45;88,89;75,03;77,27;61,11;84,17;92,86;83,33;66,67;88,89;100;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,62;95,45;77,78;77,53;77,27;77,78;69,17;78,57;58,33;83,33;77,78;77,78;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,02;86,36;83,33;77,85;81,82;72,22;77,5;85,71;75;66,67;77,78;77,78;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,9;90,91;88,89;83,46;86,36;72,22;93,33;92,86;91,67;100;55,56;100;D;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,36;72,73;66,67;64,87;63,64;61,11;76,25;92,86;62,5;83,33;77,78;77,78;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
86,34;95,45;72,22;89,9;90,91;88,89;97,5;92,86;100;100;88,89;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,02;86,36;83,33;82,07;86,36;77,78;63,33;50;66,67;83,33;77,78;77,78;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
52,22;50;44,44;60,33;54,55;61,11;51,25;35,71;62,5;50;77,78;77,78;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
83,46;86,36;72,22;77,85;81,82;72,22;92,92;100;95,83;66,67;100;77,78;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
66,09;72,73;61,11;59,87;63,64;61,11;81,67;85,71;83,33;66,67;55,56;44,44;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,97;77,27;66,67;;;;63,75;71,43;62,5;50;100;;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
100;100;100;89,95;95,45;77,78;97,92;100;95,83;100;100;100;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
80;75;83,33;85,08;81,82;83,33;76,67;85,71;83,33;33,33;88,89;100;D;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
65,53;72,73;50;55,76;68,18;33,33;52,08;42,86;54,17;66,67;77,78;66,67;H;10;2008;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,63;86,36;88,89;86,01;90,91;77,78;95,42;92,86;95,83;100;88,89;88,89;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,06;95,45;100;80,18;90,91;61,11;89,17;100;83,33;83,33;88,89;88,89;D;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,78;95,45;94,44;86,24;86,36;94,44;100;100;100;100;100;66,67;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,85;81,82;72,22;76,57;90,91;55,56;77,5;85,71;75;66,67;77,78;77,78;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,19;81,82;72,22;78,18;86,36;66,67;86,67;92,86;83,33;83,33;66,67;77,78;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,78;95,45;94,44;85,73;90,91;72,22;93,33;92,86;91,67;100;100;100;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
67,15;68,18;61,11;61,92;72,73;44,44;66,67;78,57;58,33;66,67;77,78;66,67;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,09;72,73;61,11;83,41;81,82;83,33;88,33;92,86;91,67;66,67;88,89;88,89;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
78,51;90,91;61,11;68,18;86,36;33,33;82,5;78,57;100;33,33;77,78;88,89;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,84;95,45;88,89;87,02;81,82;88,89;100;100;100;100;100;100;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,39;95,45;66,67;85,73;90,91;72,22;90,42;92,86;95,83;66,67;88,89;100;H;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
78,71;84,09;66,67;65,73;65,91;55,56;45;42,86;50;33,33;88,89;88,89;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
85,73;90,91;72,22;87,68;90,91;77,78;100;100;100;100;100;100;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,25;77,27;72,22;72,02;81,82;55,56;65,83;64,29;66,67;66,67;88,89;77,78;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
49,14;47,73;38,89;50,88;54,55;38,89;44,58;57,14;29,17;66,67;77,78;66,67;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,07;90,91;72,22;77,3;81,82;61,11;77,08;71,43;79,17;83,33;88,89;100;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
81,46;81,82;77,78;73,91;77,27;72,22;77,92;85,71;70,83;83,33;88,89;66,67;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,89;95,45;83,33;88,28;95,45;77,78;97,92;100;95,83;100;100;88,89;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,12;90,91;66,67;77,25;77,27;72,22;60,83;57,14;66,67;50;55,56;88,89;D;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
74,7;72,73;66,67;52,1;63,64;38,89;82,92;78,57;95,83;50;100;44,44;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,16;84,09;88,89;85,03;77,27;94,44;93,33;92,86;91,67;100;100;88,89;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,11;100;88,89;96,06;95,45;100;95,42;92,86;95,83;100;100;88,89;D;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
28,69;31,82;22,22;30,68;36,36;16,67;30,83;0;41,67;66,67;33,33;44,44;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
93,51;90,91;94,44;91,89;95,45;83,33;93,75;100;87,5;100;100;100;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,28;95,45;77,78;79,8;81,82;77,78;95,83;100;91,67;100;88,89;77,78;H;2;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
89,95;95,45;77,78;91,89;95,45;83,33;97,92;100;95,83;100;100;100;D;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,11;100;88,89;93,18;86,36;100;100;100;100;100;100;100;H;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
96,11;100;88,89;87,68;90,91;77,78;100;100;100;100;100;100;D;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
;;;89,29;86,36;88,89;;;;;;100;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,89;95,45;83,33;93,84;95,45;88,89;100;100;100;100;100;100;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
77,05;84,09;66,67;72,1;63,64;72,22;90,83;85,71;91,67;100;77,78;100;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
89,62;90,91;83,33;81,84;90,91;61,11;100;100;100;100;100;100;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,95;90,91;83,33;71,64;72,73;72,22;76,67;71,43;83,33;66,67;88,89;66,67;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
49,34;40,91;44,44;51,94;50;38,89;44,17;35,71;33,33;100;88,89;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
91,52;86,36;100;88,23;90,91;88,89;95,83;100;91,67;100;88,89;77,78;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
76,39;75;77,78;79,85;86,36;66,67;86,25;85,71;87,5;83,33;77,78;88,89;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
44,95;45,45;44,44;49,22;54,55;38,89;42,92;78,57;20,83;33,33;44,44;55,56;H;8;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
73,51;90,91;61,11;61,21;59,09;66,67;83,75;78,57;87,5;83,33;44,44;55,56;D;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
79,19;77,27;77,78;60,93;59,09;61,11;100;100;100;100;88,89;66,67;D;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
95,78;95,45;94,44;88,23;90,91;88,89;91,67;100;83,33;100;100;77,78;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
68,46;86,36;38,89;74,24;81,82;66,67;80,83;71,43;91,67;66,67;77,78;66,67;H;7;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
78,66;79,55;77,78;61,64;72,73;38,89;47,92;50;45,83;50;77,78;77,78;H;11;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,44;100;88,89;90,18;90,91;94,44;97,92;100;95,83;100;88,89;77,78;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
87,02;81,82;88,89;83,13;81,82;77,78;91,25;92,86;87,5;100;100;100;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
71,41;77,27;55,56;82,12;90,91;66,67;88,33;92,86;91,67;66,67;88,89;88,89;H;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
81,84;90,91;61,11;89,9;90,91;88,89;88,33;100;91,67;50;100;88,89;H;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
93,84;95,45;88,89;87,9;86,36;94,44;86,25;78,57;87,5;100;100;77,78;D;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
76,97;77,27;66,67;87,63;86,36;88,89;87,5;85,71;100;50;100;88,89;H;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
77,58;81,82;66,67;72,75;72,73;61,11;75,83;100;66,67;50;88,89;100;D;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,35;81,82;88,89;78,46;86,36;72,22;79,58;78,57;79,17;83,33;88,89;66,67;H;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
96,11;100;88,89;89,57;86,36;94,44;100;100;100;100;100;88,89;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
86,39;100;61,11;87,35;86,36;83,33;88,75;100;87,5;66,67;100;100;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
73,31;72,73;72,22;85,35;81,82;88,89;90,83;85,71;91,67;100;77,78;88,89;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
56,26;63,64;55,56;81,19;81,82;72,22;32,5;42,86;25;33,33;33,33;100;H;11;2008;Consorci d'Educació de Barcelona;Privada;Més de 100000
88,28;95,45;77,78;78,54;68,18;88,89;72,5;85,71;75;33,33;88,89;88,89;H;5;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
70,33;79,55;44,44;70,08;81,82;50;93,33;92,86;91,67;100;100;77,78;H;10;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
91,57;90,91;88,89;93,84;95,45;88,89;97,5;92,86;100;100;100;100;D;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
67,37;63,64;77,78;78,86;72,73;83,33;79,17;85,71;83,33;50;55,56;88,89;D;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
84,12;95,45;61,11;76,59;68,18;83,33;88,33;100;91,67;50;100;88,89;H;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
88,01;95,45;72,22;82,07;86,36;77,78;92,5;100;100;50;100;77,78;H;7;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
94,44;100;88,89;83,41;81,82;83,33;100;100;100;100;88,89;88,89;D;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
86,01;90,91;77,78;86,29;90,91;83,33;95;92,86;100;83,33;88,89;77,78;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
74,9;90,91;55,56;82,8;77,27;83,33;77,5;78,57;75;83,33;66,67;100;D;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
89,57;86,36;94,44;82,63;86,36;88,89;74,17;64,29;83,33;66,67;88,89;55,56;H;7;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
74,7;72,73;66,67;77,25;77,27;72,22;79,58;92,86;79,17;50;100;88,89;H;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
79,19;77,27;77,78;75,45;65,91;83,33;93,75;100;87,5;100;88,89;88,89;H;2;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
80,28;75;88,89;70,76;68,18;66,67;92,92;100;95,83;66,67;77,78;88,89;D;7;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
84,02;86,36;83,33;70,23;70,45;66,67;77,92;85,71;70,83;83,33;77,78;77,78;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
90,23;95,45;83,33;93,51;90,91;94,44;95;92,86;100;83,33;88,89;100;D;10;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
35,63;31,82;27,78;54,65;68,18;44,44;50;57,14;50;33,33;66,67;33,33;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,03;77,27;94,44;86,01;90,91;77,78;92,92;85,71;95,83;100;88,89;88,89;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
67,85;81,82;38,89;76,79;86,36;72,22;70,83;64,29;66,67;100;88,89;55,56;H;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
83,46;86,36;72,22;80,86;77,27;77,78;92,92;92,86;95,83;83,33;100;100;D;7;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
81,94;75;88,89;78,26;68,18;83,33;86,25;92,86;87,5;66,67;88,89;100;H;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
83,74;86,36;77,78;69,75;77,27;55,56;77,92;92,86;70,83;66,67;88,89;77,78;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
72,7;68,18;72,22;67,2;72,73;50;59,58;71,43;54,17;50;88,89;88,89;D;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,96;86,36;88,89;77,3;81,82;61,11;91,25;100;87,5;83,33;77,78;100;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
70,76;68,18;66,67;62,15;68,18;61,11;81,25;85,71;87,5;50;88,89;44,44;D;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
95,78;95,45;94,44;89,85;86,36;100;95,42;100;95,83;83,33;100;77,78;D;10;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
86,57;90,91;88,89;85,63;81,82;94,44;95;100;100;66,67;66,67;77,78;H;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,73;90,91;72,22;84,02;86,36;83,33;92,92;92,86;95,83;83,33;100;77,78;H;2;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
79,8;81,82;77,78;82,75;72,73;94,44;85,83;92,86;91,67;50;77,78;88,89;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
82,8;77,27;83,33;79,8;81,82;77,78;92,92;85,71;95,83;100;100;77,78;D;5;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
92,17;95,45;88,89;67,75;72,73;61,11;79,17;85,71;83,33;50;88,89;66,67;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,73;90,91;72,22;77,8;77,27;83,33;66,25;64,29;62,5;83,33;100;66,67;D;1;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
83,69;81,82;88,89;69,09;68,18;66,67;90,42;100;95,83;50;77,78;77,78;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
49,04;63,64;11,11;72,7;68,18;72,22;69,17;78,57;58,33;83,33;88,89;88,89;H;4;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
91,57;90,91;88,89;86,97;77,27;100;97,92;100;95,83;100;100;88,89;H;10;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
90,1;84,09;94,44;88,96;81,82;94,44;97,92;100;95,83;100;100;100;H;7;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
61,64;72,73;38,89;72,7;68,18;72,22;84,58;85,71;79,17;100;77,78;88,89;D;1;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
100;100;100;94,12;95,45;94,44;95,42;92,86;95,83;100;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
85,4;86,36;77,78;85,63;81,82;94,44;97,5;92,86;100;100;100;77,78;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
77,58;81,82;66,67;85,35;81,82;88,89;86,25;92,86;87,5;66,67;88,89;88,89;H;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
87,35;86,36;83,33;87,95;90,91;83,33;85,42;64,29;95,83;100;100;88,89;H;4;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,96;86,36;55,56;78,86;72,73;83,33;72,5;64,29;75;83,33;88,89;88,89;H;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
78,91;77,27;72,22;89,57;86,36;94,44;97,92;100;95,83;100;100;88,89;D;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
77,63;86,36;55,56;77,58;81,82;66,67;32,08;28,57;29,17;50;100;88,89;H;12;2008;Consorci d'Educació de Barcelona;Privada;Més de 100000
94,17;100;83,33;93,84;95,45;88,89;93,33;92,86;91,67;100;100;100;H;2;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
71,77;59,09;77,78;75,48;68,18;94,44;75;78,57;75;66,67;100;55,56;H;5;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,96;86,36;55,56;75,86;77,27;77,78;53,75;57,14;37,5;100;88,89;66,67;H;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
92,17;95,45;88,89;83,69;81,82;88,89;93,33;92,86;91,67;100;88,89;77,78;D;4;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
84,07;90,91;72,22;67,65;63,64;83,33;77,5;71,43;75;100;88,89;44,44;D;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
65,81;72,73;55,56;54,17;50;50;88,75;92,86;87,5;83,33;66,67;77,78;H;12;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,58;77,27;72,22;71,69;77,27;61,11;75,42;71,43;70,83;100;77,78;77,78;D;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
;;;88,56;95,45;83,33;95;100;100;66,67;;77,78;D;3;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
77,3;81,82;61,11;79,14;72,73;88,89;78,33;85,71;66,67;100;100;77,78;D;6;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
81,46;81,82;77,78;72,02;81,82;55,56;60,42;50;70,83;50;88,89;77,78;D;5;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
87,68;90,91;77,78;81,82;63,64;100;89,17;92,86;83,33;100;100;100;D;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
91,57;90,91;88,89;79,8;81,82;77,78;68,33;64,29;66,67;83,33;100;77,78;H;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
81,52;86,36;66,67;83,69;81,82;88,89;84,58;85,71;79,17;100;100;77,78;D;2;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
86,39;100;61,11;79,14;72,73;88,89;79,17;71,43;83,33;83,33;100;77,78;H;9;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
87,95;90,91;83,33;93,84;95,45;88,89;81,67;71,43;83,33;100;88,89;100;D;11;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
58,99;59,09;55,56;69,75;77,27;55,56;52,08;50;54,17;50;66,67;77,78;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
69,7;72,73;66,67;63,21;63,64;61,11;55,83;64,29;41,67;83,33;66,67;66,67;H;8;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
77,22;100;44,44;69,7;72,73;66,67;83,33;64,29;91,67;100;77,78;66,67;H;11;2010;Consorci d'Educació de Barcelona;Privada;Més de 100000
75,03;77,27;61,11;78,86;72,73;83,33;82,5;92,86;75;83,33;100;88,89;D;1;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
69,14;72,73;55,56;83,13;81,82;77,78;73,33;78,57;66,67;83,33;88,89;100;H;11;2008;Consorci d'Educació de Barcelona;Privada;Més de 100000
80,51;95,45;55,56;91,57;90,91;88,89;91,25;92,86;87,5;100;88,89;100;H;10;2009;Consorci d'Educació de Barcelona;Privada;Més de 100000
68,89;75;61,11;60,33;54,55;61,11;70,42;71,43;70,83;66,67;66,67;77,78;H;10;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,91;81,82;66,67;75,86;77,27;77,78;70,42;57,14;70,83;100;77,78;66,67;H;1;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
53,31;47,73;55,56;52,5;50;50;61,67;57,14;58,33;83,33;66,67;66,67;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
75,91;81,82;66,67;75,18;90,91;61,11;68,75;64,29;62,5;100;77,78;55,56;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
83,13;81,82;77,78;87,95;90,91;83,33;87,08;92,86;79,17;100;100;88,89;D;6;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
88,33;100;66,67;82,8;77,27;83,33;77,92;78,57;70,83;100;100;100;D;4;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
94,17;100;83,33;95,45;90,91;100;92,5;78,57;100;100;100;100;H;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
98,33;100;100;90,18;90,91;94,44;100;100;100;100;88,89;77,78;H;5;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
84,39;95,45;66,67;83,46;86,36;72,22;97,92;100;95,83;100;88,89;100;D;9;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
71,69;77,27;61,11;63,74;61,36;61,11;66,67;64,29;58,33;100;77,78;77,78;D;3;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
58,31;47,73;88,89;67,7;68,18;72,22;75,42;78,57;70,83;83,33;22,22;55,56;D;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
47,2;47,73;33,33;71,09;72,73;61,11;52,5;50;50;66,67;77,78;88,89;H;12;2009;Consorci d'Educació de Barcelona;Pública;Més de 100000
